time,open,high,low,close,pz,tz,xup,xdn,est,ema12,atr14,close
1789479720,759.65,759.69,759.41,759.65,-63.24407755563657,-89.93439893598665,0,0,0,760.0733387478792,0.3769291350769735,759.65
1789479840,759.68,760.18,759.66,759.79,-59.27746659460462,-88.69226894026333,0,0,0,760.0297481712824,0.38786276828575916,759.79
1789479960,759.78,759.845,759.45,759.52,-59.68463144116437,-88.39578401961927,0,0,0,759.9513253757005,0.3883725705510607,759.52
1789480080,759.52,759.54,759.22,759.35,-62.11948997033097,-89.04830795181121,0,0,0,759.858813779439,0.3834888155116947,759.35
1789480200,759.33,759.52,759.2,759.52,-64.30484511882729,-89.23676841959389,0,0,0,759.8066885826022,0.3789539001179977,759.52
1789480320,759.49,759.77,759.45,759.72,-61.595106507456116,-88.69870894830382,0,0,0,759.7933518775865,0.3747429072524219,759.72
1789480440,759.72,759.75,759.49,759.645,-61.193585663707125,-88.29302960830543,0,0,0,759.770528511804,0.36654698530581964,759.645
1789480560,759.555,759.615,759.4,759.57,-62.52322814567232,-88.20239041699094,0,0,0,759.7396779715265,0.3578650577839757,759.57
1789480680,759.57,759.59,759.37,759.55,-63.95533550442252,-88.29779258646965,0,0,0,759.7104967451378,0.3480175536565508,759.55
1789480800,759.54,759.54,759.05,759.17,-70.42841410805792,-89.89710220024048,0,0,0,759.627343399732,0.3588734426810829,759.17
1789480920,759.16,759.18,758.91,758.939,-76.48360566301098,-91.98074590364311,0,0,0,759.5214444151578,0.3525253396324328,758.939
1789481040,758.93,759.1,758.83,758.9,-81.21376807704573,-93.83819917888658,0,0,0,759.4258375820566,0.34663067251582913,758.9
1789481160,758.88,758.99,758.55,758.76,-84.2173626500907,-95.32952930121635,0,0,0,759.323401030971,0.35329991019327384,758.76
1789481280,758.72,758.74,758.49,758.52,-87.97220926672014,-96.4807736149294,0,0,0,759.1998008723601,0.3473499166080387,758.52
1789481400,758.49,758.515,758.05,758.16,-89.21079333634324,-97.35512242420276,0,0,0,759.0398315073817,0.3561106368503236,758.16
1789481520,758.15,758.21,757.93,757.94,-91.82809500225659,-98.01452255582063,0,0,-1,758.8706266600922,0.35067416278959235,757.94
1789481640,757.92,758.13,757.88,758.07,-90.2775623638374,-98.51028549608833,0,0,-1,758.7474533277704,0.3434831511617643,758.07
1789481760,758.08,758.26,757.93,758.26,-82.73425872939977,-98.8825119818072,0,0,-1,758.6724605081134,0.34252006893592696,758.26
1789481880,758.24,758.425,758.14,758.22,-78.14703602029321,-99.16181660626904,0,0,-1,758.602851199173,0.33841149258335845,758.22
1789482000,758.22,758.34,757.62,757.62,-83.6102770152199,-99.371339994673,0,0,-1,758.4516433223771,0.36566781454169195,757.62
1789482120,757.64,757.665,757.19,757.19,-87.70770776141492,-99.52849750932849,0,0,-1,758.2575443497037,0.373477256360136,757.19
1789482240,757.2,757.74,757.2,757.6,-82.50283679712214,-99.64637063643761,0,0,-1,758.1563836805185,0.3860860237629802,757.6
1789482360,757.57,757.66,757.48,757.53,-79.1463316814989,-99.73477714547529,0,0,-1,758.0600169604387,0.3713655934941923,757.53
1789482480,757.53,757.73,757.47,757.49,-77.34016491779583,-99.80108258182216,0,0,-1,757.9723220434481,0.3634109082446065,757.49
1789482600,757.47,757.62,757.22,757.62,-73.00512368834714,-99.82511704347286,0,0,-1,757.9181186521485,0.36602441479856157,757.62
1789482720,757.58,757.63,757.26,757.36,-75.80035439416793,-99.86027281830673,0,0,-1,757.8322542441256,0.36630838517009323,757.36
1789482840,757.33,757.61,757.1,757.44,-74.15215258807751,-99.89234962563074,0,0,-1,757.7719074373371,0.3765720719436573,757.44
1789482960,757.4,757.595,757.21,757.28,-76.31987984861371,-99.9183105565233,0,0,-1,757.6962293700544,0.377174066804824,757.28
1789483080,757.27,757.28,757.06,757.15,-80.10552253468082,-99.93841569649254,0,0,-1,757.6121940823538,0.36594734774733856,757.15
1789483200,757.14,757.15,756.88,757.06,-82.147264468738,-99.95370603206943,0,0,-1,757.527241146607,0.35909396576538455,757.06
1789483320,757.04,757.24,757.02,757.03,-83.85362073521182,-99.96524427728542,0,0,-1,757.4507425086675,0.34915868249643045,757.03
1789483440,757.04,757.38,757.02,757.23,-78.53343163180959,-99.97392145904185,0,0,-1,757.4167821227187,0.349933062318115,757.23
1789483560,757.249,757.31,757.11,757.29,-73.40244339210393,-99.98043717797398,0,0,-1,757.397277180762,0.33922355786681624,757.29
1789483680,757.225,757.225,756.92,756.93,-79.56796157633646,-99.98532657804469,0,0,-1,757.3253883837217,0.341421875162044,756.93
1789483800,756.91,757.01,756.3,756.32,-84.51344296554728,-99.98899449838825,0,0,-1,757.1707132477645,0.36774888407904344,756.32
1789483920,756.32,756.49,756.15,756.32,-84.55803817865015,-99.99174572874277,0,0,-1,757.03983428657,0.3657668209305426,756.32
1789484040,756.33,756.61,756.32,756.45,-81.40405872258208,-99.99380924820761,0,0,-1,756.9490905501747,0.3603549051497869,756.45
1789484160,756.43,756.86,756.365,756.86,-73.43546162435379,-99.50148759525814,0,0,-1,756.9353843116862,0.36997241192480246,756.86
1789484280,756.84,756.85,756.43,756.44,-75.04630838410688,-99.43195984874521,0,0,-1,756.8591713406576,0.37426009678732114,756.44
1789484400,756.45,756.97,756.44,756.94,-67.79158060314818,-98.75751491420104,0,0,-1,756.871606519018,0.3853843755882248,756.94
1789484520,756.93,757.06,756.6,757.05,-58.65500620707857,-97.44872109212213,0,0,-1,756.8990516699383,0.39071406304620326,757.05
1789484640,757.03,757.27,757.03,757.1,-51.23653767417655,-96.03272073426146,0,0,-1,756.9299667976401,0.379948772828618,757.1
1789484760,757.03,757.2,756.94,757.03,-46.88412160800213,-94.99131191518283,0,0,-1,756.94535652108,0.37138100334085894,757.03
1789484880,757.02,757.02,756.8,756.88,-46.66049757297101,-94.60938872289209,0,0,-1,756.9353016716831,0.3612823602450846,756.88
1789485000,756.86,757,756.7,756.96,-43.89146879450229,-94.1397664149085,0,0,-1,756.9391014145011,0.35690504879900387,756.96
1789485120,756.99,757.04,756.78,756.81,-45.14847201271715,-94.14246247812147,0,0,-1,756.919239658424,0.34998325959907434,756.81
1789485240,756.84,757.05,756.83,756.925,-43.29937831359929,-93.92252861145181,0,0,-1,756.9201258648203,0.3421273124848554,756.925
1789485360,756.92,757.22,756.82,757.21,-37.27038148606424,-92.75134247155326,0,0,-1,756.9647218856172,0.3462610758787927,757.21
1789485480,757.21,757.37,757.18,757.265,-29.63571294381658,-90.89150863872173,0,0,-1,757.0109185185992,0.33509957045888283,757.265
1789485600,757.25,757.34,756.99,757.06,-29.44286993407831,-89.8728065848088,0,0,-1,757.0184695157377,0.3361638868546786,757.06
1789485720,757.07,757.49,756.99,757.41,-23.1567793162309,-87.93315366829792,0,0,-1,757.078704974855,0.3478664663650587,757.41
1789485840,757.4,757.5,757.33,757.36,-19.85731959151377,-86.40928185120248,0,0,-1,757.1219811325697,0.3351617187675516,757.36
1789485960,757.36,757.47,757.17,757.47,-15.292989693634958,-84.76273796835513,0,0,-1,757.1755224967898,0.3326501674270171,757.47
1789486080,757.47,757.48,757.3,757.48,-11.736408936892637,-83.27446771815809,0,0,-1,757.2223651895913,0.32174658403937756,757.48
1789486200,757.49,757.55,757.19,757.24,-15.971148675278815,-83.00144503840166,0,0,-1,757.2250782373465,0.3244789708937006,757.24
1789486320,757.22,757.27,756.93,757.04,-25.53550436360196,-83.82353672385204,0,0,-1,757.1966046623701,0.3255876158298671,757.04
1789486440,757.06,757.39,756.98,757.22,-29.058129260495743,-84.09606238893394,0,0,-1,757.2002039450824,0.3316170718420172,757.22
1789486560,757.26,757.5,757.16,757.245,-31.285236382314373,-84.0889476528942,0,0,-1,757.207095645839,0.33221585242473256,757.245
1789486680,757.25,757.42,757.25,757.31,-31.316528130252998,-83.77746091072787,0,0,-1,757.2229270849407,0.32098614868010555,757.31
1789486800,757.3,757.66,757.3,757.56,-26.307887280475924,-82.45392929588384,0,0,-1,757.2747844564883,0.3237728523458133,757.56
1789486920,757.57,757.75,757.56,757.73,-20.095566745614832,-80.44182081481232,0,0,-1,757.3448176170285,0.31421764860683055,757.73
1789487040,757.71,757.74,757.4,757.505,-23.648662190173177,-79.57650630018895,0,0,-1,757.3694610605626,0.31605924513491634,757.505
1789487160,757.485,757.52,757.26,757.26,-33.136496642630405,-80.16161995203123,0,0,-1,757.3526208973991,0.31205501333956454,757.26
1789487280,757.27,757.36,756.92,757.01,-44.538086767687794,-82.095594354648,0,0,-1,757.2999099901069,0.321193940958171,757.01
1789487400,757,757.56,757,757.16,-49.063031512944384,-83.30589948896987,0,0,-1,757.2783853762443,0.33825151660401204,757.16
1789487520,757.17,757.24,757.1,757.15,-54.053403308040636,-84.24171889644498,0,0,-1,757.258633779899,0.3240906939894388,757.15
1789487640,757.18,757.7,757,757.53,-47.03006414057303,-83.06099977167783,0,0,-1,757.3003824291453,0.3509413587044821,757.53
1789487760,757.47,757.47,757.16,757.27,-49.64188351157155,-82.71912065541325,0,0,-1,757.2957082092768,0.35230269022559085,757.27
1789487880,757.29,757.33,757.11,757.11,-58.11093070596684,-83.4440943589149,0,0,-1,757.2671377155419,0.342852498066622,757.11
1789488000,757.12,757.32,757.03,757.26,-58.857202186506385,-83.50790940158006,0,0,-1,757.2660396054586,0.33907731963329735,757.26
